Date,Chemical,Organic_Chemicals,Electronic_components,Mechanical,Motor_products,Household_appliances,Transportation
1627747200,157818,60413,264227,560096,462787,17662,412239
1630425600,182151,69495,274481,535440,445334,21806,428959
1633017600,155881,59031,262945,542705,432834,19041,394867
1635696000,152341,64136,273211,629864,519173,21460,459827
1638288000,132103,46230,317551,483819,489692,16684,397249
1640966400,174353,66350,307831,573036,572630,17917,548711
1643644800,134392,33907,288984,518907,493488,18305,500206
1646064000,172711,60164,380705,624196,610137,21027,627497
1648742400,184791,69318,326880,551927,547835,16507,490764
1651334400,188042,40822,373270,541473,454342,17895,586090
1654012800,189563,66035,402792,576784,691745,20025,663621
1656604800,253221,124088,455273,587144,628730,19545,545112
1659283200,166048,58466,380468,506554,514722,17356,448262